query,matching_paragraphs,num_matching_paragraphs,num_matching_docs,nonmatching_paragraphs,num_nonmatching_paragraphs,num_nonmatching_docs,label,overlap,par_balance,doc_balance
700-82,"['AR 700-82.pdf_11', 'AR 700-82.pdf_15', 'AR 700-82.pdf_24', 'AR 700-82.pdf_28', 'AR 700-82.pdf_33']",5,1,"['MCO P4030.31D_6.pdf_45', 'AR 700-18.pdf_79', 'AR 700-18.pdf_36', 'MCO P4030.31D.pdf_254', 'MCO P4030.31D.pdf_188', 'AFMAN 21-106.pdf_0', 'PAM 700-16.pdf_267', 'MCO P4030.31D_5.pdf_17', 'SECNAVINST 4410.23A.pdf_8', 'SECNAVINST 4410.23A.pdf_12', 'STP 11-25M13-SM-TG.pdf_370', 'AR 750-1.pdf_508', 'AR 750-1.pdf_653', 'CUBA STUDY_4.pdf_155', 'AGO 1964-10.pdf_1', 'DoDD 4400.01 CH 1.pdf_48', 'AFMAN 11-2C-130JV3ADDA.pdf_382', 'AFMAN 11-2C-130JV3ADDA.pdf_383', 'SASC Hearing - The Role of the Department of Defense Science and Technology Enterprise for Innovation and Affordability Agenda Witnesses - Mr. Alan R. Shaffer Testimony.pdf_193', 'COUNTRY BOLIVIA STUDY AND PROFILE_3.pdf_67']",20,15,train,0,0.25,0.06666666666666667
8510.01,"['DoDI 8510.01 CH 3.pdf_51', 'DoDI 8510.01 CH 3.pdf_63', 'DoDI 8510.01 CH 3.pdf_74', 'DoDI 8510.01 CH 3.pdf_78', 'DoDI 8510.01 CH 3.pdf_82']",5,1,"['OPNAVINST 5450.350A.pdf_13', 'CJCSI 3500.01J.pdf_545', 'DHA Procedural Instructions 8400.01.pdf_33', 'CJCSI 6250.01F.pdf_697', 'CNSSP 28.pdf_148', 'CFETP 3D0X3.pdf_275', 'CFETP 3D0X3.pdf_278', 'CFETP 3D0X3.pdf_243', 'CFETP 3D0X3.pdf_234', 'CFETP 3D0X3.pdf_227', 'DHA-PM 4000.02.pdf_113', 'CJCSI 3420.01E.pdf_111', 'CJCSI 3420.01E.pdf_13', 'DHA Procedural Instructions 4000.03.pdf_67', 'CNSSD 505.pdf_122', 'NAVADMIN 017_20.txt_4', 'DHA Procedural Instructions 5400.01.pdf_42', 'CJCSI 6731.01C.pdf_270', 'DHA Procedures Manuals 4000.02.pdf_113', 'CJCSI 8010.01C.pdf_142']",20,15,train,0,0.25,0.06666666666666667
aaitp 02 nato asset tracking shipping label and associated symbologies,"['AAITP 02.pdf_1', 'AAITP 02.pdf_10']",2,1,['STANAG 2494.pdf_14'],1,1,train,0,2.0,1.0
aamedp 1.16 physiological requirements for aircrew cbrn defence assemblies used in flight,['AAMedP 1.16.pdf_0'],1,1,['STANAG 3501.pdf_50'],1,1,train,0,1.0,1.0
aap 06 nato glossary of terms and definitions (english and french),"['AAP 06.pdf_126', 'AAP 06.pdf_74', 'AAP 06.pdf_131']",3,1,"['ALP 16.pdf_1356', 'ALP 16.pdf_787', 'STANAG 2617.pdf_62', 'AEDP 02_VOLI.pdf_77', 'STANAG 4172.pdf_58', 'AGeoP 26.pdf_74', 'AAITP 02.pdf_29', 'STANAG 2560.pdf_66', 'AAP 32.pdf_37', 'STANAG 3114.pdf_68', 'STANAG 2494.pdf_22', 'STANAG 4090.pdf_52']",12,11,train,0,0.25,0.09090909090909091
active shooter,"['DoDI 6055.17 CH 3.pdf_67', 'DoDI 6055.17 CH 3.pdf_57', 'CJCS GDE 5260.pdf_18', 'CJCS GDE 5260.pdf_80', 'CJCS GDE 5260.pdf_78', 'CJCS GDE 5260.pdf_79', 'AFI 31-118.pdf_136', 'AFI 10-202.pdf_155', 'AFI 10-202.pdf_82']",9,4,"['H.R. 1539 IH 117th.pdf_1', 'H.R. 1539 IH 117th.pdf_3', 'H.R. 1539 IH 117th.pdf_0', 'H.R. 1539 IH 117th.pdf_2', 'H.R 1539 IH 117th.pdf_3', 'H.R 1539 IH 117th.pdf_1', 'H.R 1539 IH 117th.pdf_0', 'H.R 1539 IH 117th.pdf_2', 'H.R. 3432 IH 117th.pdf_2', 'H.R. 3432 IH 117th.pdf_4', 'H.R. 3432 IH 117th.pdf_5', 'H.R. 3432 IH 117th.pdf_0', 'H.R. 3432 IH 117th.pdf_1', 'H.R. 6538 IH 117th.pdf_4', 'H.R. 6538 IH 117th.pdf_2', 'H.R. 6538 IH 117th.pdf_0', 'H.R. 6538 IH 117th.pdf_1', 'H.R. 6538 IH 117th.pdf_7', 'AFTTP 3-4.6_AS.pdf_43', 'AFTTP 3-4.6_AS.pdf_0', 'AFTTP 3-4.6_AS.pdf_12', 'AFTTP 3-4.6_AS.pdf_29', 'AFTTP 3-4.6_AS.pdf_28', 'MCBUL 5580.pdf_59', 'DoDI 6060.02 CH 2.pdf_122', 'COMNAVRESFORCOMNOTE 5214_dup1.pdf_37', 'MCO 1710.30.pdf_234', 'BUMEDNOTE 1500-2_dup1.pdf_58', 'BUPERSINST 5510.61D CH1.pdf_220', 'BUMEDNOTE 1500.pdf_107', 'NAVADMIN 293_19.txt_15', 'MCO 5580.2B.pdf_8539', 'MCO 5580.2B.pdf_7539', 'MCO 5580.2B.pdf_8741', 'MCO 5580.2B.pdf_8533', 'MCO 5580.2B.pdf_4748']",36,14,train,0,0.25,0.2857142857142857
adp 3-37 protection,"['ADP 3-37.pdf_0', 'ADP 3-37.pdf_99', 'ADP 3-37.pdf_20', 'ADP 3-37.pdf_56', 'ADP 3-37.pdf_5']",5,1,"['ADP 3-0.pdf_94', 'ADP 3-0.pdf_63', 'ADP 3-0.pdf_100', 'ADP 3-0.pdf_64', 'ADP 3-0.pdf_15', 'ADP 5-0.pdf_108', 'ADP 5-0.pdf_63', 'ADP 3-19.pdf_33', 'ADP 3-05.pdf_99', 'ADP 3-05.pdf_9', 'ADP 3-05.pdf_78', 'ADP 3-07.pdf_72', 'ADP 3-07.pdf_47', 'ADP 3-07.pdf_75', 'ADP 3-90.pdf_122', 'ADP 3-90.pdf_94', 'ADP 3-90.pdf_131', 'ADP 3-90.pdf_41', 'ADP 3-90.pdf_86', 'FM 3-0.pdf_367']",20,7,train,0,0.25,0.14285714285714285
adp 7-0 training,['ADP 7-0.pdf_0'],1,1,"['ADP 3-0.pdf_94', 'ADP 3-0.pdf_2', 'ADP 3-0.pdf_21', 'ADP 3-0.pdf_78']",4,1,train,0,0.25,1.0
advana,"['DoDFMR V1CH10.pdf_22', 'DoDFMR V1CH10.pdf_30', 'DoDFMR V1CH10.pdf_17', 'DoDFMR V1CH10.pdf_47', 'DoDFMR V1CH10.pdf_2']",5,1,"['DoDFMR V1CH3.pdf_111', 'DoDFMR V1CH3.pdf_80', 'DoDFMR V1CH3.pdf_79', 'SASC Hearing - Nomination--McCord and Moultrie Witnesses - Honorable Michael McCord Advance Policy Questions.pdf_159', 'SASC Hearing - Nomination--McCord and Moultrie Witnesses - Honorable Michael McCord Advance Policy Questions.pdf_154', 'NAVADMIN 327_20.txt_73', 'NAVADMIN 086_21.txt_10', 'NAVMC 4000.6A.pdf_283', 'SASC Hearing - Nominations - Sherman, Vazirani, Ricci Witnesses - Mr. John Sherman Testimony.pdf_256', 'SASC Hearing - Nominations - Sherman, Vazirani, Ricci Witnesses - Mr. John Sherman Testimony.pdf_91', 'SASC Hearing - Nominations - Sherman, Vazirani, Ricci Witnesses - Mr. John Sherman Testimony.pdf_338', 'SASC Hearing - Nominations - Sherman, Vazirani, Ricci Witnesses - Mr. John Sherman Testimony.pdf_391', 'DoDFMR V3CH8.pdf_442', 'DoDFMR V3CH8.pdf_441', 'DoDFMR V3CH8.pdf_444', 'DoDFMR V3CH8.pdf_523', 'DoDFMR V3CH8.pdf_493', 'DoDFMR V1CH1.pdf_101', 'DoDFMR V1CH1.pdf_53', 'SASC Hearing - Department of Defense Audit Agenda Witnesses - Honorable David L. Norquist Testimony.pdf_31']",20,9,train,0,0.25,0.1111111111111111
afh 1 airman (afh1),"['AFH 1.pdf_2048', 'AFH 1.pdf_1278', 'AFH 1.pdf_1486', 'AFH 1.pdf_2045', 'AFH 1.pdf_1122']",5,1,['AFMAN 36-2664.pdf_286'],1,1,train,0,5.0,1.0
afh 23-123v2pt2 integrated logistics system-supply (ils-s) standard base supply system operations,['AFH 23-123V2PT2.pdf_112'],1,1,"['AFH 23-123V2PT3.pdf_149', 'AFI 21-101.pdf_398', 'AFI 24-602V2.pdf_60']",3,3,train,0,0.3333333333333333,0.3333333333333333
afh 23-123v3 air force equipment management,['AFH 23-123V3.pdf_0'],1,1,"['DAFI 21-101.pdf_443', 'AFI 65-106.pdf_297', 'AFI 21-101.pdf_398', 'AFI 21-103.pdf_255']",4,4,train,0,0.25,0.25
afh 33-337 the tongue and quill,"['AFH 33-337.pdf_458', 'AFH 33-337.pdf_466', 'AFH 33-337.pdf_470', 'AFH 33-337.pdf_586', 'AFH 33-337.pdf_610']",5,1,"['CFETP 1102C1.pdf_359', 'CFETP 35B.pdf_523', 'CFETP 35B.pdf_359', 'HOI 33-14.pdf_176', 'CFETP 5R0X1.pdf_614', 'CFETP 4A0X1.pdf_129', 'CFETP 4A0X1.pdf_779', 'AFH 36-2235V13.pdf_245', 'HOI 36-2.pdf_26', 'HOI 33-3.pdf_398', 'HOI 33-3.pdf_0', 'AFMAN 33-326.pdf_6', 'AFMAN 33-326.pdf_38', 'CFETP 5J0X1.pdf_391', 'AFH 1.pdf_1361', 'AFH 1.pdf_1259', 'AFH 1.pdf_1331', 'AFH 1.pdf_2044', 'DAFMAN 90-161.pdf_16', 'DAFMAN 90-161.pdf_128']",20,12,train,0,0.25,0.08333333333333333
afh 36-2643 air force mentoring program,"['AFH 36-2643.pdf_5', 'AFH 36-2643.pdf_18']",2,1,"['CFETP 0801_0808_0810_0819_0830_0850.pdf_388', 'AFI 36-2670.pdf_480', 'CFETP 2G0X1.pdf_153', 'CFETP 1750.pdf_73']",4,4,train,0,0.5,0.25
afi 1-1 air force standards,"['AFI 1-1.pdf_1', 'AFI 1-1.pdf_40', 'AFI 1-1.pdf_3', 'AFI 1-1.pdf_11', 'AFI 1-1.pdf_35']",5,1,"['AFI 10-403.pdf_127', 'AFI 10-403.pdf_68', 'AFH 23-123V1.pdf_832', 'AFI 10-1302.pdf_5', 'AFI 64-105.pdf_46', 'AFI 64-105.pdf_25', 'AFI 64-105.pdf_51', 'AFI 11-301V1.pdf_107', 'AFI 11-301V1.pdf_109', 'AFI 11-301V1.pdf_108', 'AFI 11-301V1.pdf_66', 'CFETP 1P0X1.pdf_2', 'CFETP 21MX.pdf_797', 'AFI 17-130.pdf_34', 'AFI 17-130.pdf_5', 'AFI 17-130.pdf_28', 'DAFPM 2021-36-01.pdf_215', 'AFMAN 10-3500V1.pdf_36', 'AFMAN 10-3500V1.pdf_38', 'AFMAN 10-3500V1.pdf_20']",20,10,train,0,0.25,0.1
afi 10-1002 joint use agreements for military and civilian flying facilities,['AFI 10-1002.pdf_34'],1,1,"['AFI 25-201.pdf_51', 'AFI 25-201.pdf_22', 'AFMAN 13-204V1.pdf_43', 'AFMAN 13-204V1.pdf_91']",4,2,train,0,0.25,0.5
afi 10-201 force readiness reporting,"['AFI 10-201.pdf_0', 'AFI 10-201.pdf_93']",2,1,"['AFI 10-403.pdf_127', 'AFI 10-403.pdf_54', 'AFI 10-403.pdf_81', 'AFI 10-403.pdf_61', 'AFI 10-403.pdf_53', 'CFETP 4A0X1.pdf_1104', 'CFETP 4A0X1.pdf_590', 'CFETP 4A0X1.pdf_586']",8,2,train,0,0.25,0.5
afi 10-202 contingency response forces,['AFI 10-202.pdf_25'],1,1,"['AFTTP 3-4.7.pdf_43', 'AFTTP 3-4.7.pdf_108', 'AFTTP 3-4.7.pdf_237', 'AFTTP 3-4.7.pdf_236']",4,1,train,0,0.25,1.0
afi 10-208 continuity of operations (coop) program,"['AFI 10-208.pdf_80', 'AFI 10-208.pdf_29', 'AFI 10-208.pdf_25', 'AFI 10-208.pdf_66', 'AFI 10-208.pdf_27']",5,1,"['HOI 10-3.pdf_52', 'HOI 10-3.pdf_17', 'HOI 10-3.pdf_5', 'AFPD 10-2.pdf_9', 'AFMAN 15-129.pdf_38', 'DAFI 10-2601.pdf_39', 'DAFI 10-2601.pdf_18', 'AFI 10-2402.pdf_18', 'AFI 10-2519.pdf_97', 'AFI 10-2519.pdf_5', 'AFPAM 10-219V5.pdf_402', 'AFMAN 41-209.pdf_136', 'AFMAN 41-209.pdf_49', 'AFMAN 32-1067.pdf_92', 'AFI 41-106.pdf_67', 'AFI 41-106.pdf_54']",16,10,train,0,0.3125,0.1
afi 10-210 prime base engineer emergency force (beef) program,['AFI 10-210.pdf_30'],1,1,"['AFMAN 32-1007.pdf_186', 'AFMAN 32-1007.pdf_5', 'AFTTP 3-32.34V3.pdf_1450', 'CFETP 3E0X1.pdf_418']",4,3,train,0,0.25,0.3333333333333333
afi 10-2402 critical asset risk management program,['AFI 10-2402.pdf_35'],1,1,"['AFI 23-201.pdf_111', 'AFI 23-201.pdf_53', 'AFI 32-1015.pdf_83', 'AFI 32-1015.pdf_44']",4,2,train,0,0.25,0.5
afi 10-2501,"['AFI 10-2501.pdf_429', 'AFI 10-2501.pdf_165', 'AFI 10-2501.pdf_631', 'AFI 10-2501.pdf_0', 'AFI 10-2501.pdf_569']",5,1,"['AFI 10-403.pdf_89', 'AFI 10-403.pdf_65', 'AFI 10-403.pdf_127', 'AFI 10-403.pdf_62', 'AFI 10-403.pdf_112', 'AFMAN 11-2E-8V1.pdf_54', 'AFMAN 11-2E-8V1.pdf_85', 'CFETP 2S0XX.pdf_293', 'CFETP 2T2X1.pdf_158', 'CFETP 2T2X1.pdf_275', 'CFETP 2T2X1.pdf_64', 'AFMAN 11-2APV1.pdf_50', 'AFMAN 11-2APV1.pdf_64', 'CFETP 3F4X1.pdf_80', 'AFI 11-301V1.pdf_108', 'CFETP 3E0X1.pdf_339', 'CFETP 3E0X1.pdf_440', 'AFH 10-222V10.pdf_4', 'CFETP 3E5X1.pdf_274', 'CFETP 3E5X1.pdf_355']",20,10,train,0,0.25,0.1
afi 10-2501 emergency management program,"['AFI 10-2501.pdf_0', 'AFI 10-2501.pdf_481', 'AFI 10-2501.pdf_473', 'AFI 10-2501.pdf_587', 'AFI 10-2501.pdf_466']",5,1,"['CFETP 3E9X1.pdf_608', 'AFMAN 32-1007.pdf_186', 'AFMAN 32-1007.pdf_50', 'AFMAN 32-1007.pdf_5', 'AFMAN 32-1007.pdf_194', 'AFMAN 32-1007.pdf_150', 'CFETP 3E9X1C2.pdf_113', 'AFI 10-403.pdf_127', 'AFI 10-403.pdf_65', 'AFI 10-403.pdf_62', 'AFMAN 10-2502.pdf_52', 'AFH 10-222V10.pdf_4', 'AFMAN 11-2E-8V1.pdf_85', 'CFETP 3E9X1C1.pdf_1', 'QTP 4B071-18.pdf_139', 'QTP 4B071-18.pdf_148', 'QTP 4B071-18.pdf_142', 'QTP 4B071-18.pdf_100', 'CFETP 2T2X1.pdf_158', 'CFETP 2T2X1.pdf_64']",20,10,train,0,0.25,0.1
afi 10-2519 public health emergencies and incidents of public health concern,"['AFI 10-2519.pdf_94', 'AFI 10-2519.pdf_34', 'AFI 10-2519.pdf_50', 'AFI 10-2519.pdf_20', 'AFI 10-2519.pdf_88']",5,1,"['AFI 48-149.pdf_28', 'AFMAN 32-1053.pdf_41', 'AFMAN 32-1053.pdf_66', 'AFI 41-106.pdf_67', 'AFI 41-106.pdf_30', 'AFMAN 48-105.pdf_38', 'AFMAN 48-105.pdf_41', 'CFETP 4A0X1.pdf_662', 'CFETP 4A0X1.pdf_575', 'CFETP 4A0X1.pdf_647', 'CFETP 4A0X1.pdf_779', 'AFTTP 3-42.23.pdf_90', 'AFTTP 3-42.23.pdf_71', 'AFTTP 3-42.23.pdf_46', 'AFMAN 48-149.pdf_68', 'AFMAN 48-149.pdf_39', 'CFETP 4E0X1.pdf_959', 'AFI 10-2501.pdf_631', 'AFI 10-2501.pdf_481', 'AFMAN 10-2503.pdf_176']",20,10,train,0,0.25,0.1
afi 10-3502v1 pararescue and combat rescue officer training,"['AFI 10-3502V1.pdf_6', 'AFI 10-3502V1.pdf_62', 'AFI 10-3502V1.pdf_25']",3,1,"['AFI 36-2644.pdf_7', 'AFI 36-2644.pdf_12', 'AFMAN 11-2HH-60GV1.pdf_22', 'AFMAN 11-2HH-60GV1.pdf_75', 'AFI 10-3502V2.pdf_29']",5,3,train,0,0.6,0.3333333333333333
afi 10-3502v2 pararescue and combat rescue officer standardization evaluation program,['AFI 10-3502V2.pdf_53'],1,1,"['AFMAN 11-202V2.pdf_82', 'AFI 10-3502V1.pdf_25']",2,2,train,0,0.5,0.5
afi 10-3504 dive program,"['AFI 10-3504.pdf_8', 'AFI 10-3504.pdf_4', 'AFI 10-3504.pdf_11', 'AFI 10-3504.pdf_12', 'AFI 10-3504.pdf_7']",5,1,"['AFMAN 10-3500V2.pdf_54', 'AFMAN 10-3500V1.pdf_162', 'AFMAN 10-3500V1.pdf_36']",3,2,train,0,1.6666666666666667,0.5
afi 10-403 deployment planning and execution,"['AFI 10-403.pdf_75', 'AFI 10-403.pdf_93', 'AFI 10-403.pdf_59', 'AFI 10-403.pdf_65', 'AFI 10-403.pdf_77']",5,1,"['AFI 48-101.pdf_37', 'AFI 48-101.pdf_39', 'AFI 48-101.pdf_30', 'AFI 48-101.pdf_36', 'DAFI 48-122.pdf_39', 'DAFI 48-122.pdf_23', 'QTP 4E0X1-2.pdf_119', 'QTP 4E0X1-2.pdf_72', 'QTP 4E0X1-2.pdf_42', 'AFI 10-244.pdf_33', 'AFI 10-244.pdf_4', 'CFETP 35B.pdf_478', 'DAFMAN 10-406.pdf_61', 'DAFMAN 10-406.pdf_45', 'AFI 15-128.pdf_21', 'AFI 15-128.pdf_11', 'CFETP 1W0XXC4.pdf_1216', 'AFMAN 11-2U-2V1.pdf_68', 'CFETP 4A0X1.pdf_550', 'CFETP 4A0X1.pdf_1123']",20,10,train,0,0.25,0.1
afi 10-405 expeditionary readiness training program,['AFI 10-405.pdf_48'],1,1,"['AFI 10-403.pdf_127', 'AFI 10-403.pdf_56', 'AFI 10-403.pdf_61', 'DAFI 36-2646.pdf_564']",4,2,train,0,0.25,0.5
afi 10-503 strategic basing,"['AFI 10-503.pdf_52', 'AFI 10-503.pdf_44', 'AFI 10-503.pdf_31', 'AFI 10-503.pdf_75']",4,1,"['AFI 36-3036.pdf_12', 'AFI 36-3036.pdf_17', 'AFI 10-504.pdf_5', 'AFI 10-504.pdf_11', 'AFI 10-504.pdf_4', 'AFI 10-504.pdf_6', 'AFI 10-504.pdf_9', 'AFI 13-201.pdf_33', 'AFI 13-201.pdf_70', 'AFI 13-201.pdf_50', 'HOI 32-9.pdf_10', 'HOI 32-9.pdf_22', 'AFI 32-9003.pdf_92', 'AFI 63-101_20-101.pdf_43', 'AFI 63-101_20-101.pdf_182', 'AFI 10-501.pdf_5']",16,7,train,0,0.25,0.14285714285714285
