,key,doc,score,label
88,ar 740-1 storage and supply activity operations,AR 710-1.pdf_135,0.5,train
89,ar 740-1 storage and supply activity operations,AR 702-16.pdf_7,0.5,train
90,ar 740-1 storage and supply activity operations,TC 3-04.10.pdf_74,0.5,train
91,ar 740-1 storage and supply activity operations,MCO 4450.8C.pdf_5,0.5,train
92,ar 740-1 storage and supply activity operations,ATP 4-48.pdf_65,0.5,train
93,ar 740-1 storage and supply activity operations,ATP 4-48.pdf_87,0.5,train
94,ar 740-1 storage and supply activity operations,AR 700-4.pdf_37,0.5,train
95,ar 740-1 storage and supply activity operations,PAM 742-1.pdf_263,0.5,train
96,dcma manual 2301-06 discrepancy processing,DCMA Manual 2301-06.pdf_11,0.95,train
97,dcma manual 2301-06 discrepancy processing,DCMA Manual 2301-06r.pdf_1,0.5,train
98,dcma manual 2301-06 discrepancy processing,DCMA Manual 2301-06r.pdf_7,0.5,train
99,dcma manual 2301-06 discrepancy processing,DCMA Instruction 2301.pdf_170,0.5,train
100,dcma manual 2301-06 discrepancy processing,DCMA Manual 2401-01 C1.pdf_791,0.5,train
101,ar 420-1 army facilities management,AR 420-1.pdf_317,0.95,train
102,ar 420-1 army facilities management,AR 420-1.pdf_341,0.95,train
103,ar 420-1 army facilities management,AR 420-1.pdf_408,0.95,train
104,ar 420-1 army facilities management,AR 420-1.pdf_321,0.95,train
105,ar 420-1 army facilities management,AR 420-1.pdf_424,0.95,train
106,ar 420-1 army facilities management,AR 600-8-8.pdf_119,0.5,train
107,ar 420-1 army facilities management,ARMY DIR 2018-29.pdf_10,0.5,train
108,ar 420-1 army facilities management,TRADOC TP350-70-13.pdf_939,0.5,train
109,ar 420-1 army facilities management,TRADOC TR350-70.pdf_1250,0.5,train
110,ar 420-1 army facilities management,TB MED 575.pdf_1565,0.5,train
111,ar 420-1 army facilities management,AR 115-10.pdf_55,0.5,train
112,ar 420-1 army facilities management,AR 415-16.pdf_54,0.5,train
113,ar 420-1 army facilities management,TRADOC TP385-1.pdf_105,0.5,train
114,ar 420-1 army facilities management,PAM 11-42.pdf_40,0.5,train
115,ar 420-1 army facilities management,TM 5-608.pdf_22,0.5,train
116,ar 420-1 army facilities management,AR 25-1.pdf_207,0.5,train
117,ar 420-1 army facilities management,AR 25-1.pdf_163,0.5,train
118,ar 420-1 army facilities management,AR 25-1.pdf_160,0.5,train
119,ar 420-1 army facilities management,AR 525-27.pdf_281,0.5,train
120,ar 420-1 army facilities management,AR 40-58.pdf_266,0.5,train
121,ar 420-1 army facilities management,TM 5-608_dup1.pdf_22,0.5,train
123,ar 420-1 army facilities management,AR 350-1.pdf_437,0.5,train
124,ar 420-1 army facilities management,AR 350-1.pdf_95,0.5,train
125,ar 420-1 army facilities management,DoDI 6015.17 CH 1.pdf_73,0.5,train
126,afi 10-210 prime base engineer emergency force (beef) program,AFI 10-210.pdf_30,0.95,train
127,afi 10-210 prime base engineer emergency force (beef) program,AFMAN 32-1007.pdf_186,0.5,train
128,afi 10-210 prime base engineer emergency force (beef) program,AFMAN 32-1007.pdf_5,0.5,train
129,afi 10-210 prime base engineer emergency force (beef) program,AFTTP 3-32.34V3.pdf_1450,0.5,train
130,afi 10-210 prime base engineer emergency force (beef) program,CFETP 3E0X1.pdf_418,0.5,train
131,army 2019-17 changes to the soldier and family readiness group program,ARMY DIR 2019-17.pdf_2,0.95,train
132,army 2019-17 changes to the soldier and family readiness group program,ARMY DIR 2019-17.pdf_17,0.95,train
133,army 2019-17 changes to the soldier and family readiness group program,ARMY DIR 2019-17.pdf_30,0.95,train
134,army 2019-17 changes to the soldier and family readiness group program,ARMY DIR 2019-17.pdf_38,0.95,train
135,army 2019-17 changes to the soldier and family readiness group program,ARMY DIR 2019-17.pdf_48,0.95,train
136,army 2019-17 changes to the soldier and family readiness group program,CNGBI 1800.02.pdf_170,0.5,train
137,ar 1-100 the army gift program,AR 1-100.pdf_17,0.95,train
138,ar 1-100 the army gift program,AR 1-100.pdf_3,0.95,train
139,ar 1-100 the army gift program,ARMY DIR 2019-17.pdf_8,0.5,train
140,ar 1-100 the army gift program,ARMY DIR 2016-39.pdf_201,0.5,train
141,ar 1-100 the army gift program,AR 735-17.pdf_39,0.5,train
142,ar 1-100 the army gift program,AR 735-17.pdf_26,0.5,train
143,ar 1-100 the army gift program,AR 150-1.pdf_204,0.5,train
144,ar 1-100 the army gift program,AR 150-1.pdf_182,0.5,train
145,ar 1-100 the army gift program,AR 40-58.pdf_263,0.5,train
146,ar 1-100 the army gift program,AR 840-10.pdf_872,0.5,train
147,mco 1001.61a policy and procedures for sourcing personnel to meet individual...,MCO 1001.61A.pdf_6,0.95,train
148,mco 1001.61a policy and procedures for sourcing personnel to meet individual...,MCO 1001.61A.pdf_7,0.95,train
149,mco 1001.61a policy and procedures for sourcing personnel to meet individual...,MCO 1900.16 CH 2.pdf_8244,0.5,train
150,mco 1001.61a policy and procedures for sourcing personnel to meet individual...,MARADMIN 078-20 BOOTS ON GROUND POLICY AND PROCEDURES.html_1,0.5,train
151,mco 1001.61a policy and procedures for sourcing personnel to meet individual...,MARADMIN 148-18 MANPOWER MANAGEMENT POLICY GUIDANCE FOR INDIVIDUAL.html_1,0.5,train
152,dodd 6490.02e comprehensive health surveillance,DoDD 6490.02E CH 2.pdf_0,0.95,train
153,dodd 6490.02e comprehensive health surveillance,DoDD 6490.02E CH 2.pdf_1,0.95,train
154,dodd 6490.02e comprehensive health surveillance,CJCSI 3214.01E.pdf_312,0.5,train
155,dodd 6490.02e comprehensive health surveillance,PAM 40-11.pdf_229,0.5,train
156,dodd 6490.02e comprehensive health surveillance,PAM 40-11.pdf_569,0.5,train
157,dodd 6490.02e comprehensive health surveillance,PAM 40-11.pdf_691,0.5,train
158,dodd 6490.02e comprehensive health surveillance,PAM 40-11.pdf_812,0.5,train
159,dodd 6490.02e comprehensive health surveillance,DoDD 6420.02.pdf_33,0.5,train
160,dodd 6490.02e comprehensive health surveillance,DoDD 6420.02.pdf_46,0.5,train
161,dodd 6490.02e comprehensive health surveillance,ATP 4-02.8.pdf_121,0.5,train
162,dodd 5105.22 defense logistics agency (dla),DoDD 5105.22.pdf_12,0.95,train
163,dodd 5105.22 defense logistics agency (dla),DoDD 5105.22.pdf_16,0.95,train
164,dodd 5105.22 defense logistics agency (dla),DoDD 5105.22.pdf_14,0.95,train
165,dodd 5105.22 defense logistics agency (dla),DoDD 5105.22.pdf_44,0.95,train
166,dodd 5105.22 defense logistics agency (dla),DoDD 5100.01 CH 1.pdf_525,0.5,train
167,dodd 5105.22 defense logistics agency (dla),CJCSI 3460.01D.pdf_230,0.5,train
168,dodd 5105.22 defense logistics agency (dla),CJCSI 3110.08E.pdf_222,0.5,train
169,dodd 5105.22 defense logistics agency (dla),DoDD 3020.49 CH 1.pdf_10,0.5,train
170,dodd 5105.22 defense logistics agency (dla),DoDM 3025.01 Volume 1 CH 1.pdf_84,0.5,train
171,dodd 5105.22 defense logistics agency (dla),MCTP 3-30A.pdf_680,0.5,train
172,dodd 5105.22 defense logistics agency (dla),HAFMD 1-38.pdf_22,0.5,train
173,dodd 5105.22 defense logistics agency (dla),DoDD 3020.49.pdf_35,0.5,train
174,dodd 5105.22 defense logistics agency (dla),DoDM 3025.01 Volume 2 CH 1.pdf_36,0.5,train
175,dodd 5105.22 defense logistics agency (dla),DoDI 4140.01.pdf_16,0.5,train
176,dodd 5105.22 defense logistics agency (dla),FM 4-0.pdf_36,0.5,train
177,dodd 5105.22 defense logistics agency (dla),FM 4-0.pdf_340,0.5,train
178,fm 3-12 cyberspace and electronic warfare operations,FM 3-12.pdf_9,0.95,train
179,fm 3-12 cyberspace and electronic warfare operations,FM 3-12.pdf_103,0.95,train
180,fm 3-12 cyberspace and electronic warfare operations,FM 3-12.pdf_12,0.95,train
181,fm 3-12 cyberspace and electronic warfare operations,FM 3-12.pdf_107,0.95,train
182,fm 3-12 cyberspace and electronic warfare operations,FM 3-12.pdf_127,0.95,train
183,fm 3-12 cyberspace and electronic warfare operations,NAVMC 3500.124.pdf_308,0.5,train
184,fm 3-12 cyberspace and electronic warfare operations,NAVMC 3500.124.pdf_331,0.5,train
185,fm 3-12 cyberspace and electronic warfare operations,NAVMC 3500.124A.pdf_3035,0.5,train
187,fm 3-12 cyberspace and electronic warfare operations,NAVMC 3500.124A.pdf_3082,0.5,train
188,fm 3-12 cyberspace and electronic warfare operations,NAVMC 3500.124A.pdf_3313,0.5,train
189,fm 3-12 cyberspace and electronic warfare operations,FM 3-96.pdf_159,0.5,train
190,fm 3-12 cyberspace and electronic warfare operations,FM 3-96.pdf_161,0.5,train
191,fm 3-12 cyberspace and electronic warfare operations,FM 3-96.pdf_459,0.5,train
192,fm 3-12 cyberspace and electronic warfare operations,FM 3-09.pdf_250,0.5,train
193,fm 3-12 cyberspace and electronic warfare operations,FM 3-09.pdf_43,0.5,train
194,fm 3-12 cyberspace and electronic warfare operations,ATP 3-12.3.pdf_14,0.5,train
195,fm 3-12 cyberspace and electronic warfare operations,ATP 3-12.3.pdf_119,0.5,train
196,fm 3-12 cyberspace and electronic warfare operations,ATP 3-12.3.pdf_20,0.5,train
197,fm 3-12 cyberspace and electronic warfare operations,FM 3-0.pdf_44,0.5,train
198,fm 3-12 cyberspace and electronic warfare operations,FM 3-0.pdf_369,0.5,train
199,fm 3-12 cyberspace and electronic warfare operations,FM 3-0.pdf_107,0.5,train
200,fm 3-12 cyberspace and electronic warfare operations,FM 3-0.pdf_366,0.5,train
201,fm 3-12 cyberspace and electronic warfare operations,FM 3-0.pdf_355,0.5,train
202,fm 3-12 cyberspace and electronic warfare operations,ATP 6-02.71.pdf_68,0.5,train
203,dodd 5106.01 inspector general of the department of defense (ig dod),DoDD 5106.01 CH 2.pdf_0,0.95,train
204,dodd 5106.01 inspector general of the department of defense (ig dod),DoDD 5106.01 CH 2.pdf_14,0.95,train
205,dodd 5106.01 inspector general of the department of defense (ig dod),DoDD 5106.01 CH 2.pdf_11,0.95,train
206,dodd 5106.01 inspector general of the department of defense (ig dod),DoDI 5505.15.pdf_0,0.5,train
207,dodd 5106.01 inspector general of the department of defense (ig dod),DoDI 5505.15.pdf_2,0.5,train
208,dodd 5106.01 inspector general of the department of defense (ig dod),DoDM 5106.06.pdf_7,0.5,train
209,dodd 5106.01 inspector general of the department of defense (ig dod),DAFPD 90-3.pdf_9,0.5,train
210,dodd 5106.01 inspector general of the department of defense (ig dod),CNGBI 0700.00.pdf_27,0.5,train
211,dodd 5106.01 inspector general of the department of defense (ig dod),DoDD 5210.48 CH 2.pdf_10,0.5,train
212,dodd 5106.01 inspector general of the department of defense (ig dod),DoDI 1322.22.pdf_63,0.5,train
213,dodd 5106.01 inspector general of the department of defense (ig dod),AR 20-1.pdf_317,0.5,train
214,dodd 5106.01 inspector general of the department of defense (ig dod),DoDD 5143.01 CH 2.pdf_193,0.5,train
215,dodd 5106.01 inspector general of the department of defense (ig dod),HAFMD 1-20.pdf_11,0.5,train
216,dodd 5106.01 inspector general of the department of defense (ig dod),DoDD 5210.48 CH 1.pdf_3,0.5,train
217,dodd 5106.01 inspector general of the department of defense (ig dod),DoDD 5100.96.pdf_44,0.5,train
218,ar 5-1 management of army business operations,AR 5-1.pdf_1,0.95,train
219,ar 5-1 management of army business operations,AR 5-1.pdf_3,0.95,train
220,ar 5-1 management of army business operations,AR 5-1.pdf_19,0.95,train
221,ar 5-1 management of army business operations,AR 5-1.pdf_4,0.95,train
222,ar 5-1 management of army business operations,AR 5-1.pdf_39,0.95,train
223,ar 5-1 management of army business operations,AR 621-5.pdf_185,0.5,train
224,ar 5-1 management of army business operations,AR 25-1.pdf_205,0.5,train
225,ar 5-1 management of army business operations,AR 25-1.pdf_27,0.5,train
226,ar 5-1 management of army business operations,AR 25-1.pdf_24,0.5,train
227,ar 5-1 management of army business operations,AR 25-1.pdf_79,0.5,train
228,ar 5-1 management of army business operations,AR 25-1.pdf_77,0.5,train
229,ar 5-1 management of army business operations,AR 10-82.pdf_27,0.5,train
230,ar 5-1 management of army business operations,AR 750-1.pdf_648,0.5,train
231,ar 5-1 management of army business operations,AR 750-1.pdf_44,0.5,train
232,ar 5-1 management of army business operations,AR 525-27.pdf_278,0.5,train
233,ar 5-1 management of army business operations,AR 525-92.pdf_84,0.5,train
234,ar 5-1 management of army business operations,AR 525-2.pdf_29,0.5,train
235,ar 5-1 management of army business operations,AR 350-1.pdf_120,0.5,train
236,ar 5-1 management of army business operations,ATP 6-02.71.pdf_89,0.5,train
237,ar 5-1 management of army business operations,AR 608-1.pdf_28,0.5,train
238,ar 5-1 management of army business operations,AR 58-1.pdf_25,0.5,train
239,ar 5-1 management of army business operations,AR 58-1.pdf_40,0.5,train
240,ar 5-1 management of army business operations,AR 500-3.pdf_15,0.5,train
241,ar 5-1 management of army business operations,AR 500-3.pdf_21,0.5,train
242,ar 5-1 management of army business operations,AR 420-1.pdf_23,0.5,train
243,icd 801 acquisition,ICD 801.pdf_0,0.95,train
244,icd 801 acquisition,ICD 801.pdf_18,0.95,train
245,icd 801 acquisition,ICD 801.pdf_3,0.95,train
246,icd 801 acquisition,ICD 801.pdf_13,0.95,train
247,icd 801 acquisition,ICD 801.pdf_14,0.95,train
248,icd 801 acquisition,ICD 109.pdf_14,0.5,train
249,icd 801 acquisition,ICPG 801.3.pdf_2,0.5,train
250,icd 801 acquisition,ICPG 801.3.pdf_6,0.5,train
251,icd 801 acquisition,ICPG 801.1.pdf_12,0.5,train
252,icd 801 acquisition,ICPG 801.1.pdf_2,0.5,train
253,icd 801 acquisition,ICPG 801.1.pdf_3,0.5,train
254,icd 801 acquisition,ICPG 801.1.pdf_4,0.5,train
255,icd 801 acquisition,ICPG 801.1.pdf_1,0.5,train
256,icd 801 acquisition,DoDD 5105.60.pdf_55,0.5,train
257,icd 801 acquisition,DoDD 5105.60.pdf_161,0.5,train
258,icd 801 acquisition,DoDD 5100.20.pdf_213,0.5,train
259,icd 801 acquisition,ICD 121.pdf_5,0.5,train
260,icd 801 acquisition,DoDD 5105.23 CH 1.pdf_111,0.5,train
261,icd 801 acquisition,DoDD 5105.23 CH 1.pdf_154,0.5,train
262,icd 801 acquisition,ICD 500.pdf_4,0.5,train
263,icd 801 acquisition,ICD 500.pdf_5,0.5,train
264,army 2018-26 enabling modernization through the management of intellectual property,ARMY DIR 2018-26.pdf_2,0.95,train
265,army 2018-26 enabling modernization through the management of intellectual property,ARMY DIR 2018-26.pdf_8,0.95,train
266,army 2018-26 enabling modernization through the management of intellectual property,ARMY DIR 2018-26.pdf_15,0.95,train
267,army 2018-26 enabling modernization through the management of intellectual property,ARMY DIR 2019-29.pdf_143,0.5,train
268,army 2018-26 enabling modernization through the management of intellectual property,ARMY DIR 2019-29.pdf_48,0.5,train
269,army 2018-26 enabling modernization through the management of intellectual property,AR 70-57.pdf_3,0.5,train
270,afi 16-402 aerospace vehicle programming assignment distribution accounting and termination,AFI 16-402.pdf_186,0.95,train
271,afi 16-402 aerospace vehicle programming assignment distribution accounting and termination,AFI 21-103.pdf_255,0.5,train
272,afi 16-402 aerospace vehicle programming assignment distribution accounting and termination,AFI 21-103.pdf_92,0.5,train
273,afi 16-402 aerospace vehicle programming assignment distribution accounting and termination,AFMAN 11-2U-2V1.pdf_68,0.5,train
274,afi 16-402 aerospace vehicle programming assignment distribution accounting and termination,AFI 84-103.pdf_157,0.5,train
275,"s. 2123 to establish the federal clearinghouse on safety and security best practices for faith-based organizations and houses of worship, and for other purposes.",S. 2123 RS 117th.pdf_19,0.95,train
276,"s. 2123 to establish the federal clearinghouse on safety and security best practices for faith-based organizations and houses of worship, and for other purposes.",S. 2123 RS 117th.pdf_0,0.95,train
277,"s. 2123 to establish the federal clearinghouse on safety and security best practices for faith-based organizations and houses of worship, and for other purposes.",S. 2123 ES 117th.pdf_19,0.5,train
278,"s. 2123 to establish the federal clearinghouse on safety and security best practices for faith-based organizations and houses of worship, and for other purposes.",S. 2123 ES 117th.pdf_0,0.5,train
279,"s. 2123 to establish the federal clearinghouse on safety and security best practices for faith-based organizations and houses of worship, and for other purposes.",S. 2123 IS 117th.pdf_0,0.5,train
280,ppbe,DoDD 7045.14 CH 1.pdf_20,0.95,train
281,ppbe,DoDD 7045.14 CH 1.pdf_88,0.95,train
282,ppbe,DoDD 7045.14 CH 1.pdf_82,0.95,train
283,ppbe,DoDD 7045.14 CH 1.pdf_89,0.95,train
284,ppbe,DoDD 7045.14 CH 1.pdf_21,0.95,train
285,ppbe,CNGBI 8501.01.pdf_113,0.5,train
286,ppbe,CNGBI 8501.01.pdf_56,0.5,train
287,ppbe,CNGBI 8501.01.pdf_55,0.5,train
288,ppbe,CNGBI 8501.01.pdf_180,0.5,train
289,ppbe,CNGBI 8501.01.pdf_124,0.5,train
290,ppbe,OPNAVINST 5200.35.pdf_63,0.5,train
291,ppbe,OPNAVINST 5200.35.pdf_424,0.5,train
292,ppbe,OPNAVINST 5200.35.pdf_23,0.5,train
293,ppbe,OPNAVINST 5200.35.pdf_422,0.5,train
294,ppbe,OPNAVINST 5200.35.pdf_426,0.5,train
295,ppbe,OPNAVINST 5200.35A w CH-1.pdf_108,0.5,train
296,ppbe,OPNAVINST 5200.35A w CH-1.pdf_469,0.5,train
297,ppbe,OPNAVINST 5200.35A w CH-1.pdf_38,0.5,train
298,ppbe,OPNAVINST 5200.35A w CH-1.pdf_467,0.5,train
299,ppbe,OPNAVINST 5200.35A w CH-1.pdf_471,0.5,train
300,ppbe,SASC Hearing - Nominations--Whitley--Manasco--Pearce--Hardy Agenda Witnesses - Honorable John E. Whitley Testimony.pdf_86,0.5,train
301,ppbe,SASC Hearing - Nominations--Whitley--Manasco--Pearce--Hardy Agenda Witnesses - Honorable John E. Whitley Testimony.pdf_74,0.5,train
302,ppbe,SASC Hearing - Nominations--Whitley--Manasco--Pearce--Hardy Agenda Witnesses - Honorable John E. Whitley Testimony.pdf_92,0.5,train
303,ppbe,SASC Hearing - Nominations--Whitley--Manasco--Pearce--Hardy Agenda Witnesses - Honorable John E. Whitley Testimony.pdf_98,0.5,train
304,ppbe,SASC Hearing - Nominations--Whitley--Manasco--Pearce--Hardy Agenda Witnesses - Honorable John E. Whitley Testimony.pdf_101,0.5,train
305,pam 70-3 army acquisition procedures,PAM 70-3.pdf_4,0.95,train
306,pam 70-3 army acquisition procedures,PAM 70-3.pdf_1072,0.95,train
307,pam 70-3 army acquisition procedures,PAM 70-3.pdf_1089,0.95,train
308,pam 70-3 army acquisition procedures,AR 70-1.pdf_183,0.5,train
309,pam 70-3 army acquisition procedures,AR 70-1.pdf_176,0.5,train
310,pam 70-3 army acquisition procedures,AR 70-1.pdf_137,0.5,train
311,pam 70-3 army acquisition procedures,TRADOC TR71-20.pdf_1074,0.5,train
312,pam 70-3 army acquisition procedures,AR 40-60.pdf_24,0.5,train
313,pam 70-3 army acquisition procedures,AR 602-2.pdf_20,0.5,train
314,pam 70-3 army acquisition procedures,AR 700-127.pdf_280,0.5,train
315,pam 70-3 army acquisition procedures,AR 381-11.pdf_119,0.5,train
316,pam 70-3 army acquisition procedures,AR 11-42.pdf_67,0.5,train
317,pam 70-3 army acquisition procedures,AR 715-30.pdf_91,0.5,train
318,pam 70-3 army acquisition procedures,AR 750-10.pdf_108,0.5,train
319,pam 70-3 army acquisition procedures,AR 770-3.pdf_106,0.5,train
